nose_y      ,nose_x      ,l_eye_y     ,l_eye_x     ,r_eye_y     ,r_eye_x     ,l_ear_y     ,l_ear_x     ,r_ear_y     ,r_ear_x     ,l_shldr_y   ,l_shldr_x   ,r_shldr_y   ,r_shldr_x   ,l_elbow_y   ,l_elbow_x   ,r_elbow_y   ,r_elbow_x   ,l_wrist_y   ,l_wrist_x   ,r_wrist_y   ,r_wrist_x   ,l_hip_y     ,l_hip_x     ,r_hip_y     ,r_hip_x     ,l_knee_y    ,l_knee_x    ,r_knee_y    ,r_knee_x    ,l_ankle_y   ,l_ankle_x   ,r_ankle_y   ,r_ankle_x   
-1.223668694,-0.194949761,-1.281227112,-0.152030915,-1.297190189,-0.162055120,-1.281952143,0.060458731 ,-1.333336592,0.015959270 ,-0.836574852,0.210539207 ,-1.132107615,0.142008469 ,-0.317882746,-0.097663134,-1.118226171,-0.257919639,-0.659986258,-0.331671149,-1.049696445,-0.384929627,0.050299060 ,0.022294067 ,-0.050299060,-0.022293715,0.572172642 ,0.004289703 ,0.405264467 ,-0.065456405,1.091573238 ,0.064198457 ,0.823245704 ,-0.003311843
-1.215968966,-0.186888650,-1.277827024,-0.150072798,-1.290324330,-0.153325185,-1.282954574,0.053633083 ,-1.326679349,0.024431635 ,-0.849098325,0.201111913 ,-1.117052555,0.165288836 ,-0.337043315,-0.094483808,-1.073213577,-0.157868519,-0.664515793,-0.325810969,-0.926767468,-0.321354508,0.039943784 ,0.016736230 ,-0.039943784,-0.016736230,0.545239985 ,0.007190053 ,0.378641218 ,-0.053873695,1.048931837 ,0.068186924 ,0.786214292 ,0.000669091 
-1.195209622,-0.189491525,-1.277559042,-0.162951559,-1.289449692,-0.165811047,-1.286521912,0.038719401 ,-1.328220367,0.007425256 ,-0.850511849,0.185923651 ,-1.116510630,0.175770730 ,-0.348616958,-0.114622362,-1.026121736,-0.142725781,-0.649039268,-0.323360771,-0.914555013,-0.311205149,0.037107646 ,-0.002212498,-0.037107300,0.002212843 ,0.540690005 ,-0.000487564,0.368645877 ,-0.039765611,1.047240853 ,0.056944903 ,0.778445542 ,-0.007024991
-1.204664707,-0.191681519,-1.285363555,-0.167740077,-1.295375824,-0.167954832,-1.292104125,0.034771301 ,-1.329943419,0.007125373 ,-0.855848849,0.172855392 ,-1.110533476,0.192303255 ,-0.377785712,-0.129717648,-0.998785615,-0.112209961,-0.663172841,-0.335704446,-0.864951730,-0.298424423,0.035704922 ,-0.018451184,-0.035704579,0.018451525 ,0.519239724 ,-0.001568645,0.344880462 ,-0.031898517,1.024087548 ,0.046044618 ,0.748350620 ,-0.007031295
-1.216385365,-0.201778680,-1.272780418,-0.171406597,-1.283928037,-0.173101828,-1.280754328,0.037922464 ,-1.315967083,0.000948711 ,-0.850227952,0.169977874 ,-1.117146134,0.189799532 ,-0.411929220,-0.127252892,-1.008876801,-0.107683055,-0.659644783,-0.316350877,-0.878720284,-0.282066524,0.030972689 ,-0.020748727,-0.030972356,0.020749060 ,0.502522826 ,0.004191251 ,0.307663590 ,-0.033467386,0.976517320 ,0.042453162 ,0.700921357 ,-0.014973181
-1.207320809,-0.208985522,-1.268601775,-0.178599209,-1.278984904,-0.183487281,-1.277095675,0.030104972 ,-1.310573816,-0.013011264,-0.861045122,0.161479339 ,-1.109097123,0.182815701 ,-0.423070282,-0.132184967,-0.916210055,-0.103737272,-0.623565733,-0.310671955,-0.780921578,-0.273497671,0.028392754 ,-0.020776978,-0.028392754,0.020776978 ,0.489614069 ,0.001285239 ,0.304622442 ,-0.031161828,0.970078230 ,0.045653947 ,0.692034721 ,-0.016768014
-1.212176323,-0.207840025,-1.273598433,-0.177198038,-1.285411954,-0.183282509,-1.282086968,0.034128319 ,-1.317451596,-0.009645569,-0.860127389,0.164407253 ,-1.110266209,0.178446695 ,-0.425186753,-0.134930491,-0.926322758,-0.108399339,-0.606513321,-0.298496783,-0.789063513,-0.270045072,0.024348903 ,-0.023581544,-0.024348570,0.023581211 ,0.503781557 ,0.005675592 ,0.322776437 ,-0.024485087,0.991887152 ,0.047870703 ,0.714973748 ,0.000156543 
-1.214475036,-0.211268917,-1.278823972,-0.178565919,-1.289928079,-0.186149538,-1.289573789,0.034315515 ,-1.322883487,-0.009185341,-0.858896673,0.162981421 ,-1.112441063,0.174400821 ,-0.464592189,-0.174141958,-0.925820470,-0.119467080,-0.607065618,-0.307203680,-0.775039256,-0.271010220,0.024019545 ,-0.022906221,-0.024019545,0.022905884 ,0.505112231 ,0.001435894 ,0.320212513 ,-0.032479525,1.004154205 ,0.048668727 ,0.728891969 ,-0.002607193
-1.225590825,-0.227026492,-1.290288568,-0.193398029,-1.300463438,-0.201431885,-1.299942970,0.019489076 ,-1.332747102,-0.025971683,-0.859539151,0.128991649 ,-1.115790963,0.184170738 ,-0.497786313,-0.229678854,-0.976462960,-0.149659291,-0.622015536,-0.333366215,-0.876540065,-0.280041218,0.025624031 ,-0.048241291,-0.025623694,0.048241626 ,0.491617531 ,-0.022185400,0.319557071 ,-0.037000127,1.003420115 ,0.029732941 ,0.733107030 ,-0.009504260
-1.227195263,-0.237453982,-1.294968486,-0.200360596,-1.304953337,-0.209152743,-1.308626294,0.008042282 ,-1.339931369,-0.037628651,-0.870408893,0.088233292 ,-1.108144641,0.203871980 ,-0.495018214,-0.243320361,-0.894093752,-0.110067315,-0.624235570,-0.340155184,-0.750273407,-0.279940635,0.025456246 ,-0.059273437,-0.025456246,0.059273437 ,0.483035743 ,-0.034082126,0.304825783 ,-0.038357891,1.003052950 ,0.018320616 ,0.728054821 ,-0.011710123
